VISp
AUDp
SSp-ll
AUDd
SSp-n
SSp-ul
AIp
SSp-m
SSp-un
SSp-bfd
VISl
AUDv
SSs
VISC
SSp-tr
VISli
MOp
VISrl
VISpl
RSPv
RSPd
GU
RSPagl
PERI
ECT
VISal
ILA
ORBl
AId
VISpm
ORBm
PL
VISpor
FRP
AUDpo
TEa
VISa
VISam
MOs
ORBvl
ACAv
ACAd
AIv
