,module,ss_z,ss,ss_k,N
0,prefrontal,-1.1843443599334689,0.16293858472075298,3,372
1,lateral,1.644439292368059,0.1642692415050235,3,220
2,somatomotor,5.112890767754616,0.14985105585995095,3,2339
3,medial,5.687675736357675,0.15747076759158704,6,624
4,cortex,5.262293777912221,0.14205669202832732,4,3594
