,region,ss_z,ss,ss_k,ss_null,ss_null_mean,ss_null_std,N
0,VISp,11.757443824201136,0.25785416358854474,6,"[0.14369862459527066, 0.15708671847209543, 0.16187117058467404, 0.16401505282271972, 0.15957727564817106, 0.15177718478991348, 0.14403858766812874, 0.14557135198024246, 0.15962011950234464, 0.16033664795602012, 0.15994624201938343, 0.17408807175730023, 0.16176775514827277, 0.14712733925440147, 0.16031677139923867, 0.16603240630892102, 0.15621151833739244, 0.17174587896495275, 0.16001008744994488, 0.1540552522005925, 0.15949099164789768, 0.1581808709486158, 0.18128957200910847, 0.1412558335148452, 0.15505082080182728, 0.15982345619504584, 0.14396318170406697, 0.16089278148025096, 0.1583157559281, 0.1463551473812187, 0.15012093158115114, 0.16628467034566968, 0.17113233480750129, 0.15576539539737877, 0.17612822882514717, 0.1569747891449577, 0.1685570594426537, 0.15008883773299855, 0.15280557688711094, 0.16934481721949823, 0.1573318207406045, 0.15155293800827194, 0.16263625261127548, 0.1550681075944308, 0.16774126896815755, 0.15257926072582015, 0.1570218363063559, 0.14919914697234063, 0.16284570601853207, 0.14835885388589795, 0.15002263381142417, 0.1550158190635637, 0.15526346607410255, 0.1545773093044914, 0.13896967221117953, 0.14990880956796354, 0.16504636320825297, 0.14887622302744555, 0.16078290450755017, 0.1558028047987935, 0.1633890620793659, 0.14988734778381965, 0.15659585087664002, 0.15715715845652348, 0.15603032574052858, 0.15921803401400117, 0.1697724695145995, 0.16795393554770868, 0.1612791281700012, 0.15347464511910153, 0.14559416538967182, 0.16178229330841892, 0.15226170327978447, 0.16064007613607087, 0.14341355199731345, 0.1645931339426595, 0.14923600521510963, 0.156309099618024, 0.16107717987890743, 0.17241955591804428, 0.16547005471641285, 0.17029153445867126, 0.16626989914670026, 0.16094050514428732, 0.16067425090022486, 0.16026159337495272, 0.16653619780378992, 0.17186279795963783, 0.15898117986122884, 0.14854086748704803, 0.15189569656196514, 0.1450024482911131, 0.17396129302638502, 0.16066679446984955, 0.16395988125375915, 0.16130082643798885, 0.15466854920276873, 0.14125646323499158, 0.16352300392005242, 0.15016799435710862]",0.1579763286085671,0.008494859637295682,116
1,AUDp,4.792851678401457,0.24241175231538406,3,"[0.14774418208057244, 0.1750496758088829, 0.1685572404997052, 0.17955358379080338, 0.17858334589806774, 0.16710883068086216, 0.17622413269180903, 0.16033177660232262, 0.18504075183920227, 0.1653210239346169, 0.167490216166537, 0.17120661982890972, 0.17655050599975014, 0.20183191475437223, 0.19967885583405348, 0.1563737025091138, 0.19216069450698814, 0.196828249928017, 0.1887833040562383, 0.17151486931933949, 0.1837125918381531, 0.192677383097274, 0.16653908999762995, 0.18421200550052647, 0.16768640953065694, 0.17029084496863603, 0.1784288427954576, 0.19438176574471996, 0.1570058705956438, 0.1600997223785388, 0.19280232957682697, 0.138356749800301, 0.16596329932442505, 0.17746156042692537, 0.20953746137053708, 0.15419746945687401, 0.1640177507527748, 0.17890765027651637, 0.18580712961711549, 0.18918017519367114, 0.2057492322921698, 0.17878954950634637, 0.1882306107961207, 0.18006359466015112, 0.16041779410624313, 0.14913631611572625, 0.18165939898387912, 0.1645899986383912, 0.17342749058429754, 0.17648615014728514, 0.16717751689475013, 0.17430475585385805, 0.17869711697713386, 0.17041768679523808, 0.20490705667712972, 0.1500340808196151, 0.17224821962840775, 0.18324672780977277, 0.17621549995090804, 0.17222607059635658, 0.2071643357564043, 0.1554826426541776, 0.17482287077514144, 0.17505227943179202, 0.15008855826407191, 0.16493209586446975, 0.17514443913868974, 0.17609948372294637, 0.1941068869695629, 0.19245128807943443, 0.16708976648216084, 0.17467258814474695, 0.1836219280723995, 0.16329204694344948, 0.1780181943599571, 0.16203764434783452, 0.16687190833369442, 0.18512864124909917, 0.17118667276178196, 0.1659844068639296, 0.1773610573239716, 0.19633867942986247, 0.1660882860906078, 0.1591366200196772, 0.17664936130782552, 0.1658014948069745, 0.16942733047400793, 0.17141959741876214, 0.17573560738893854, 0.1722872258044919, 0.15859884316125558, 0.1764795699458091, 0.1610290035054582, 0.1692211665506547, 0.16626123561129455, 0.18441572642598122, 0.1992078483789558, 0.18830543450299403, 0.1913536758508011, 0.1861035899381715]",0.17539694478959386,0.013982241058655379,98
2,SSp-ll,0.07481338440468893,0.2069821203462899,3,"[0.17744479794254328, 0.18918210725283222, 0.2169219804873027, 0.18979895353162735, 0.19524498830717596, 0.20858894701596256, 0.20009439560481895, 0.2007676096549138, 0.21560583403429504, 0.2244955018253293, 0.20635079523789937, 0.2077082929929565, 0.2074050929230562, 0.19450879554317077, 0.18561134743320762, 0.18960636821946153, 0.21341009433295358, 0.18744065126488707, 0.2071660908186551, 0.19812088221186847, 0.1899600508475851, 0.1931491509953196, 0.1986509257076547, 0.22584473324008314, 0.221473476461478, 0.2061954247430798, 0.22250501014291313, 0.20429684424108296, 0.25664851830128577, 0.203580563052776, 0.201659617432132, 0.21184669709929174, 0.19947049287070456, 0.2132122899678069, 0.17697593738123715, 0.2152329363375533, 0.21939005563592442, 0.18777624130553178, 0.18250891033922076, 0.21129559030468922, 0.24282989998856827, 0.19397719536816913, 0.2631250374222905, 0.21062696924632845, 0.18248078732146236, 0.20752857058174118, 0.22207960017242478, 0.1847557130179033, 0.22708217168830763, 0.20976908488210527, 0.1768625264475201, 0.22577940946267705, 0.21330504543860443, 0.1991484150363694, 0.202639276298449, 0.19243807518966868, 0.21417598073387642, 0.18005963307083686, 0.19767467411797057, 0.23866766329727515, 0.2111302791110111, 0.17799397742912068, 0.19418760492090076, 0.19804985975998005, 0.21278302855051356, 0.19980988772742594, 0.1974127886389226, 0.19319559920005908, 0.2239985268123268, 0.20674800279231043, 0.18569761406676208, 0.19706254113016894, 0.20714890340548078, 0.215338519535214, 0.1993005300192379, 0.2096583381643827, 0.2251978694728335, 0.19336917680388807, 0.22560045823031566, 0.21255988826215721, 0.23664327596512724, 0.20461632330311452, 0.19515144674880713, 0.22797449780423862, 0.1990099086450496, 0.20305483864720753, 0.20886941602271367, 0.21334659516575732, 0.19202581802270483, 0.2046486425077097, 0.183617458612037, 0.2420940772913164, 0.20951954873567646, 0.19240979249942242, 0.21899817152446988, 0.18628097456112375, 0.22500765987809032, 0.17898040931196668, 0.18742620322354203, 0.23226437687006032]",0.20570335551197963,0.0170927280524169,50
3,SSp-ul,5.691884002208762,0.28499771528725903,4,"[0.1655002831954399, 0.17423760240588673, 0.18674221523558446, 0.1713796526624394, 0.20300126859026513, 0.17205429203518965, 0.17246114963106088, 0.19715659675264247, 0.199951331521044, 0.1835453654492454, 0.17610342535925, 0.16399882275391375, 0.18619821855841326, 0.17884701311097317, 0.20242805246497045, 0.17132917694502936, 0.1891060788842089, 0.18175836379370125, 0.1654088990575624, 0.19772806300024634, 0.16679761974717122, 0.22502223799711243, 0.18918104099326996, 0.19537311704283036, 0.1862879544781848, 0.2363710297255082, 0.17261064215222982, 0.184015198890169, 0.1798112891867237, 0.18777351916031218, 0.1890644773496803, 0.1933937006551458, 0.20727658427788606, 0.21039928551735293, 0.1660081890799502, 0.18149348854424335, 0.20968322852633645, 0.18119544424237047, 0.17707911767162088, 0.2109008768655006, 0.17442441525506377, 0.20838341622397774, 0.18639193513433047, 0.23082172097345757, 0.19607490058821822, 0.17636625997659872, 0.1842693604840671, 0.2105662597975097, 0.17270443862111282, 0.1583988155807454, 0.16870951071339033, 0.2173088227486494, 0.17148568134091183, 0.18330585830356938, 0.16298427450636246, 0.17162505423175314, 0.18573945581162013, 0.20928860842856073, 0.20694881460726894, 0.16378957636828215, 0.1801887578733156, 0.17773803673904112, 0.1889554064110098, 0.16981988521860764, 0.17957538436621986, 0.18646547123171567, 0.18268351935101487, 0.1728857365452414, 0.21092254913326153, 0.21487676602646996, 0.20260119604396992, 0.23134333609478802, 0.20917583485362629, 0.1670224591874841, 0.2118875119182024, 0.18544001915983285, 0.204347040899179, 0.1557802762063877, 0.17635451544516748, 0.16610661707393262, 0.1665491735578106, 0.1960656009176969, 0.1968035658778026, 0.17200139132495867, 0.20233285021810543, 0.1750006550721757, 0.185417418727229, 0.19586994796645069, 0.18308296400703142, 0.17610173189988165, 0.19314691802328543, 0.1723167159408077, 0.1976138128087316, 0.179537809647384, 0.16677022259425403, 0.19706210760788512, 0.17480900073728886, 0.16296085331838445, 0.18725512276163814, 0.1943219444410149]",0.186774512204344,0.01725671202097567,56
4,SSp-m,3.9499576374795047,0.20413661585027462,3,"[0.16839967062765118, 0.16862535193056435, 0.15630402186699074, 0.17691567568579042, 0.17662288439027513, 0.16273768187089852, 0.1719047959800316, 0.17635346785164802, 0.17497413234041095, 0.16141364560926877, 0.17740339560255194, 0.17154758197521805, 0.1657314739141803, 0.17906922874539868, 0.1613385676029463, 0.17584602913016692, 0.16508111483155732, 0.16944156989427087, 0.16773867782939547, 0.16927982915492967, 0.17005470527496258, 0.18144562468147032, 0.1720817598255663, 0.17523070589658254, 0.17360949681827392, 0.17112824969393584, 0.1721956809697831, 0.16843058999926774, 0.16749443198179798, 0.18122109397618072, 0.15866099165962033, 0.1576883052555192, 0.16922854073795235, 0.16492221262695633, 0.17746563723348047, 0.154493084659386, 0.16591878785095998, 0.17417721013557846, 0.16437695607598016, 0.1678077951820949, 0.16202856002908766, 0.17444847639828448, 0.16557222843863584, 0.1768399872655967, 0.15553047528280559, 0.1649639608813088, 0.1760529871468191, 0.17119598243978393, 0.18239220416023655, 0.1611069010798862, 0.16774370403898564, 0.1857220680770869, 0.1671294841111907, 0.1720860805847668, 0.1699998726225492, 0.16903563933421314, 0.1625179795370756, 0.1704718379514722, 0.17232038930699523, 0.17181061239497009, 0.16035504099567244, 0.164293239158026, 0.174079866932375, 0.19583735642533787, 0.17817940233116, 0.16587366142996282, 0.1633360846365596, 0.17237097655004016, 0.18504637892892975, 0.18016977202184603, 0.1845442132560327, 0.18993988746585894, 0.18219337053935095, 0.16231122247553897, 0.17079568624581565, 0.16262921448335974, 0.17588869638795412, 0.1631027597396419, 0.1700973026021724, 0.18333891798612714, 0.19329596638571123, 0.1724606598222598, 0.17846443732414885, 0.1818449851547369, 0.18701625150629472, 0.1635623163395098, 0.1593565712581595, 0.1867990335218125, 0.174035519068887, 0.1639161693726029, 0.1579292224364611, 0.16042353388424127, 0.159071335457081, 0.16819366914229436, 0.1765658334089849, 0.16792948152013393, 0.16658285841511988, 0.17467005429662547, 0.1702733787595784, 0.1687140378584152]",0.17098818453976064,0.00839209792935051,375
5,SSp-bfd,0.9336003341391477,0.18887009922645226,5,"[0.16671481239445493, 0.16481716315114195, 0.1756800026974002, 0.1799163674479625, 0.1730997294664635, 0.16008253334547987, 0.15571245699495492, 0.1830422575968076, 0.1745705444263753, 0.1859214481557911, 0.16451033934015372, 0.1992548825542101, 0.17328561779030985, 0.1937497656109886, 0.2104176971239316, 0.18767930959361823, 0.19879606253913523, 0.190280243234379, 0.16055389732342917, 0.19204147062652488, 0.17387384901285766, 0.17276979874021708, 0.16916738343832086, 0.17820998930874016, 0.16753789452429527, 0.19487270216304015, 0.17132401997352034, 0.17742908823110679, 0.21278749687728735, 0.166633767727123, 0.16768147290128155, 0.1798264646254137, 0.1691911487133048, 0.1858590686417356, 0.19247674372450688, 0.16795488821436796, 0.17247914123237407, 0.17264626904804112, 0.1840982626231601, 0.16976142531761007, 0.1689884064045143, 0.1742799729611578, 0.17685463838238108, 0.15736842166243747, 0.18894090758384824, 0.18020808749208644, 0.17558976275787877, 0.17230075868350675, 0.1733427632574807, 0.17706496534512148, 0.18485232393025167, 0.2041375887061076, 0.1808332944405163, 0.18162720843784202, 0.1838250401404307, 0.17306229342011076, 0.18078644379101966, 0.1882818665222223, 0.18093164722272265, 0.1699985047199987, 0.18996197331546152, 0.16204929247414446, 0.17491536927254542, 0.18387480468076972, 0.18886762378000294, 0.181981185668542, 0.1753503484765172, 0.17095931635350306, 0.16191775358800897, 0.18725654762266886, 0.1600242758260379, 0.16644578694990683, 0.20458923592187714, 0.17643752971150392, 0.1791984000665048, 0.19881805032209235, 0.17012956678449906, 0.18521470147408825, 0.1689568366845275, 0.16644638605058798, 0.17347087741148873, 0.1720047089055284, 0.15783145075632296, 0.16390591100357002, 0.16937592072063473, 0.17594736383270587, 0.17457037081829632, 0.17604525579932986, 0.1643540481623198, 0.1515897991749705, 0.20685653033614518, 0.1833605325180177, 0.16928214975423814, 0.17404768282871397, 0.18919393896659117, 0.17465091435660018, 0.1753094378958913, 0.17128562803145547, 0.1735134418112946, 0.1952044420372311]",0.17755177762458588,0.012123305003208636,148
6,SSs,1.9007116924040584,0.19313271221222644,5,"[0.16666146631255965, 0.1676009690669771, 0.17081538324086942, 0.16770066355733018, 0.18362671863412797, 0.1733972016522376, 0.17681250037365268, 0.18189431238368753, 0.17352894526692372, 0.18211645879185298, 0.1885140657823545, 0.16564018179845647, 0.18091181701460182, 0.17419566750820542, 0.1642193663488192, 0.17355003760322787, 0.18071462176649764, 0.1993403821477425, 0.16335277170867582, 0.17905109971278074, 0.16045483206897612, 0.1692634663059213, 0.18342897250777648, 0.1594272415272132, 0.16077214619611704, 0.1857396073090777, 0.1668998172948303, 0.1526635066491973, 0.1746305982102227, 0.18682097423672453, 0.17991367549626888, 0.18712655386482285, 0.1564804288964054, 0.18616027684898526, 0.17405391486146646, 0.1724576347166604, 0.17771369362414868, 0.17738745916955892, 0.1638967120424049, 0.1803505241694605, 0.17650088782199033, 0.17935721714522007, 0.1747592225130279, 0.1789070831270384, 0.16410404827522887, 0.18816549062931678, 0.1740592212357713, 0.20062278622798949, 0.1695969727916369, 0.17558668419720716, 0.1603738183035503, 0.17358028091718916, 0.17631688580839786, 0.16734582036411028, 0.17541761448838586, 0.1732578270786969, 0.15436084183126425, 0.18337292064952823, 0.17512142005374273, 0.17954176762921484, 0.1775834736628988, 0.1533740012304469, 0.16918100593166568, 0.18284624234980412, 0.15460924394402076, 0.19168678921070237, 0.17465229264323712, 0.1720905146109679, 0.16734400157458743, 0.17486387738454615, 0.16861679714587538, 0.15614564210562917, 0.1674335586817077, 0.16386354008101794, 0.17945142291552205, 0.17547709623767577, 0.17330347157899592, 0.1940051772049319, 0.1633939386062031, 0.17345401399498822, 0.14953327519920004, 0.19118142643515468, 0.16951549084342296, 0.16253332755172983, 0.16178746012111833, 0.1853626559414022, 0.1625774787692553, 0.172694310020922, 0.16985931443855268, 0.16841211782657428, 0.1723097816763424, 0.1797410987503296, 0.1684492247252241, 0.17779495924770722, 0.17872637204669195, 0.1832885536803627, 0.1651091988021274, 0.1934362227243061, 0.17389104244929054, 0.18634471040579303]",0.1737555960050726,0.010194663548707529,235
7,SSp-tr,1.2190865067476584,0.21770109249145408,5,"[0.16356417360884248, 0.19513591316260825, 0.19390511383006045, 0.16923110450431839, 0.21250552722151891, 0.20363169395760142, 0.19212121714291547, 0.17847614458813194, 0.2188754976599661, 0.20157584902772172, 0.18186172432465345, 0.20576356752418182, 0.17644561879145512, 0.20974172842835564, 0.16113885006695977, 0.18007523095538783, 0.19686456601217847, 0.16307485967328098, 0.20480413166997374, 0.21044853044451187, 0.21208848136668867, 0.20262043899870527, 0.19681170143349377, 0.21572569466205171, 0.19881106390616518, 0.16327763146163496, 0.1948936085595477, 0.19103173060852588, 0.18860691787772696, 0.19691615264425763, 0.23730275258226438, 0.18141684655403592, 0.20361080145599314, 0.2064049019900006, 0.19245016744040377, 0.2340980994362791, 0.21542029840469154, 0.16723058067517702, 0.20450752096766867, 0.1587883097767945, 0.2185093365104273, 0.20740784019343675, 0.18021107453352941, 0.20201906479826479, 0.19455288151408448, 0.1947358767187415, 0.169933029329914, 0.1762370766701485, 0.17977010177828573, 0.23122720395853677, 0.19507725772982423, 0.17728826751199475, 0.19632324689850644, 0.20619358193510295, 0.20462467292218234, 0.19553663020889622, 0.20565385309658826, 0.1757115209408661, 0.1697059089627223, 0.1826657342095396, 0.19897519520037338, 0.19937144982086707, 0.20629824206650854, 0.23133146744741792, 0.19947549735173117, 0.2119513669278693, 0.21290487251970436, 0.2204847468668681, 0.19308090934324335, 0.22060180953575367, 0.20947701164514376, 0.21999336979328196, 0.17755237135923452, 0.1813286651861062, 0.17242814356259817, 0.1935007912987088, 0.1935256397137443, 0.20190227902708596, 0.18834564013459804, 0.18662851434154568, 0.19353950547094823, 0.18917257739688426, 0.21106424884439154, 0.1895401180217034, 0.1821049153295943, 0.18930743086779853, 0.23395777646117102, 0.165778492823263, 0.1907345904195402, 0.24834767395533303, 0.18423192347915346, 0.18539392342335573, 0.18268230309505717, 0.17508986641926166, 0.183003889251346, 0.18706165588853982, 0.18494924480431987, 0.196360383138563, 0.21973742860894183, 0.2036743537353168]",0.1955952918839519,0.018133086114189866,60
8,MOp,0.17050593059623675,0.1339125160264686,5,"[0.13088604143511745, 0.1298871790080037, 0.14016875838095658, 0.13719941228643528, 0.13352429824625636, 0.14164354033103838, 0.133732466070575, 0.12999116200544303, 0.12883510908296103, 0.13131852725473053, 0.1306202236231651, 0.1348298284709189, 0.13696061360749176, 0.13282966993449058, 0.14145809822736832, 0.13691156777836322, 0.12619579582566762, 0.13270976286159764, 0.1283173120987709, 0.13064470138355155, 0.12852932883870585, 0.13041405471276776, 0.12746778789517443, 0.12732494707152583, 0.12678955686805624, 0.13004879244415374, 0.12843608982050506, 0.1270527077719401, 0.13893670218303733, 0.12461579735677077, 0.14085685792155897, 0.13534952812850334, 0.133659975330329, 0.12882578142738765, 0.1350271791124198, 0.13096281273062962, 0.1357261591034979, 0.13922287441735842, 0.13543870966221486, 0.13557249573598204, 0.13246666797615736, 0.1444502285904577, 0.12937995639172947, 0.13086109965178103, 0.13168381496395598, 0.12516260797611103, 0.13880565135158382, 0.13343452251331767, 0.13421869406880257, 0.1386149823109097, 0.126597158081022, 0.1280852574953611, 0.12732019761083607, 0.12612253040691995, 0.13075219461077145, 0.1389063741255245, 0.1362843052987292, 0.13599645725042872, 0.13601863124040794, 0.13008177306408572, 0.1286440052836614, 0.13297196941241948, 0.13870847139739667, 0.1366553461669418, 0.14388947116735576, 0.12922527311512966, 0.13097370049048584, 0.13230882739914765, 0.13344928378816454, 0.12971807112244407, 0.13517911743051989, 0.13252878115786648, 0.13421742604956566, 0.1343548282572956, 0.1356981817026025, 0.13296344755247452, 0.13078040033069352, 0.13741402571894892, 0.13563855921594817, 0.13068369970379629, 0.13168964398216065, 0.1294344065115536, 0.1365996077061301, 0.12824721286649968, 0.14038495096267897, 0.1319827935786341, 0.13805700636512444, 0.1365719769616525, 0.13864870222769296, 0.13192446749195785, 0.13237474253296883, 0.13195865614026567, 0.13100656552781437, 0.13222582907306385, 0.1345520802856333, 0.13351346811885811, 0.1347431686653816, 0.13287049693932274, 0.1386580405932612, 0.13313975569019365]",0.1331875177010802,0.004252041690592016,641
9,GU,3.597987451274518,0.24778279531771158,3,"[0.16282315842345163, 0.19401607787327954, 0.20290664205913742, 0.1787796068256018, 0.2120315771463426, 0.1949781600385141, 0.1815040613437105, 0.18366076428978742, 0.2197301124260527, 0.18670195318255486, 0.189026361125022, 0.18172129228934403, 0.1965608596101072, 0.19397789829553724, 0.19710557323909209, 0.19030352211683865, 0.18266269550451497, 0.19618320910586842, 0.198988327183824, 0.18932474340150046, 0.21924720943650333, 0.20391653522561132, 0.18544439681585714, 0.20721615432958357, 0.20699414483107526, 0.15619934690133305, 0.22635326124716648, 0.18789056827978423, 0.20390196676833724, 0.18904106385097108, 0.21249517029402062, 0.20336699664889885, 0.18266495320076404, 0.19225395016929298, 0.2207476481041073, 0.2069925750834209, 0.2180348799210141, 0.21960795962494042, 0.19322044161978685, 0.19930368695978232, 0.19662026865939036, 0.20943651598786092, 0.19135427187394408, 0.19530969050878488, 0.2025696606005292, 0.1880507746231545, 0.1932186461782655, 0.17647988569238143, 0.19191666176465697, 0.1934763322693929, 0.2042359100770677, 0.1854289452960266, 0.17895073766194108, 0.18901378785495979, 0.20280395107834553, 0.21071833488456926, 0.176444034190185, 0.22116415184294114, 0.17447837964769705, 0.1711023503735203, 0.18454006622557473, 0.20460764146760524, 0.19840009232506509, 0.1976341685757171, 0.2278019094863025, 0.19478357240348457, 0.1976273574573902, 0.23186146266626406, 0.208371991045556, 0.1895232908173879, 0.21870396263108377, 0.190860461498035, 0.20524595765686782, 0.18276393449122222, 0.187304033983705, 0.16078933995758987, 0.17979371066939326, 0.206515925625617, 0.1999894067678782, 0.1841147810028503, 0.19794627880768756, 0.22165586141736365, 0.20017854574772473, 0.1887288758105865, 0.20662018316588648, 0.17691443549830493, 0.1936687427826476, 0.19615373975034714, 0.19934593084670207, 0.217453775696206, 0.19657128517366307, 0.2013050084718274, 0.18353781480261633, 0.1989194560268029, 0.18713468415724444, 0.20612369623750446, 0.19650858442805288, 0.1827946845844075, 0.1770455362330066, 0.19451699597970326]",0.1959500997823082,0.014406024544927926,59
