,region,ss_z,ss,ss_k,ss_null,ss_null_mean,ss_null_std,N
0,VISp,10.806433603817537,0.22158300207801385,6,"[0.13237786356290912, 0.15209846489307008, 0.14950762709801274, 0.12882182859883548, 0.13968010547103932, 0.15104116441468415, 0.1466344274464732, 0.14406593998931733, 0.15372319762551262, 0.14129500271756784, 0.15241668093671842, 0.14484857878209423, 0.158354517369099, 0.13579485835224603, 0.14416272002181585, 0.14535218972799888, 0.15096567327800184, 0.1411968431842473, 0.1626653510387833, 0.1594545327006074, 0.15090793849080303, 0.13966101728482908, 0.1356732417985092, 0.13553356052693805, 0.14663611264323176, 0.14757262927271245, 0.13268175079194983, 0.12916344069451333, 0.14090799880771318, 0.14564525041845705, 0.14526920089609038, 0.134744481458643, 0.15092591788247575, 0.14997887031802765, 0.14110347081776942, 0.1487133511433632, 0.1427653189301088, 0.13629261210478838, 0.15007732963979395, 0.1484989333397766, 0.14066453478489646, 0.14624944170579088, 0.14009155176429716, 0.14428858807498676, 0.14310840799304175, 0.1508744251725744, 0.1469393325887087, 0.151239608020924, 0.1467991390786204, 0.13513567833765489, 0.15751860694075115, 0.1487691133779087, 0.1257094553341853, 0.15349746183314156, 0.1446172405738835, 0.14585809681956344, 0.1540208450100995, 0.14062404116890087, 0.1374793467553467, 0.14117434339680202, 0.13537514713746915, 0.14154830145103744, 0.1349362270708689, 0.14628904286647654, 0.14264415068956635, 0.14350751867297867, 0.14913676313654733, 0.14121866078472953, 0.13831287421405394, 0.14789974434543318, 0.1516642346577048, 0.12933892651307527, 0.1378916560156134, 0.13925572116456528, 0.14816870006398655, 0.13657812224948346, 0.15759884773533786, 0.14421195666050227, 0.14163716746536362, 0.13695337789789064, 0.14518995407112775, 0.14664423559626857, 0.1396268126990073, 0.14103802637780335, 0.14321280270872402, 0.13631002163224856, 0.13763484657621294, 0.1443206386299703, 0.14405809396281188, 0.14073568824940288, 0.15861248379330703, 0.14129834258416196, 0.1337569360031245, 0.1413270858633225, 0.14184942498815498, 0.14305398627036794, 0.15607654608339191, 0.1355715740975658, 0.1468755398034786, 0.14548372608544977]",0.14388713160070193,0.007189779100652102,201
1,AUDp,7.714556162803358,0.23225764303702637,3,"[0.1499826632316784, 0.1540633595222671, 0.16003618099011255, 0.1482151872335504, 0.15568262481542403, 0.15966077483114807, 0.15962052545056085, 0.1877813689833544, 0.15007872774753822, 0.17860859613782842, 0.15533562432183176, 0.16757069651391346, 0.1645952492380355, 0.16475045721466736, 0.17062384183817814, 0.17167164732022447, 0.16931729130100948, 0.15525876533040678, 0.1640075389268432, 0.15843332583495667, 0.16513327836491903, 0.17726117332559596, 0.17645457545857546, 0.1687507210720839, 0.14763428420536923, 0.16777520985698194, 0.15841668315926682, 0.16412400811780917, 0.17624075623874141, 0.15760659775294458, 0.14493520287589828, 0.15770298846720712, 0.1570114807256869, 0.16319136692603578, 0.1590246405850502, 0.14829399519375613, 0.16608982566662253, 0.16538171515736416, 0.15051901475161242, 0.16246734974289248, 0.16164402639369999, 0.16486156892571238, 0.16146473933285935, 0.16898095177214645, 0.1612233519432436, 0.16293950841151042, 0.15979348335865787, 0.17057284312356477, 0.15316513346679317, 0.15919643221100588, 0.16114004635686985, 0.16549778473615842, 0.16958884477185404, 0.1787539402153642, 0.16417749305994042, 0.16563563915093252, 0.17277573900171367, 0.15316095575828986, 0.15023065271568328, 0.17192657022607266, 0.1588462126796849, 0.1802551912362861, 0.16138996003355105, 0.15950865698276415, 0.14393321937967707, 0.15739028325551352, 0.15200875675051925, 0.1436607936434264, 0.15737250383534102, 0.14347985998803922, 0.16195156981328976, 0.1645897506952397, 0.149479105542016, 0.1543319548995211, 0.1787917749952616, 0.1587371518920913, 0.15525065629457507, 0.15820678948207056, 0.1636203936559374, 0.14871740275023168, 0.15791764626736315, 0.16859643398381324, 0.16600614558377977, 0.14677842784783102, 0.1704437571867822, 0.1687457813779657, 0.15987265147389765, 0.1465284822936166, 0.15912056303625255, 0.16062071942434947, 0.16209196859653485, 0.1559209081823582, 0.1467974503114081, 0.1393628552552882, 0.1578443707303556, 0.15249350822143679, 0.15118611012478822, 0.1718871642285555, 0.16454860491386272, 0.16989688716826698]",0.1608422144337356,0.0092572310183739,181
2,SSp-ll,1.7249243317250618,0.207899270363557,3,"[0.16913111561648903, 0.17963228836385794, 0.18142163430438746, 0.18552582613274315, 0.19393411789215065, 0.20233277463338878, 0.1710591305949118, 0.1881690627128429, 0.1676900883046889, 0.19503817559826828, 0.16297712226406194, 0.1855740812219253, 0.18601128496583105, 0.16415980433702337, 0.19049716752635262, 0.20372023595709754, 0.20334637367036848, 0.1771962079239218, 0.19192046260240717, 0.20238427495265135, 0.19303401026473854, 0.2022565470182893, 0.17597938364833662, 0.1977714058948676, 0.20354080665853855, 0.20176719994748277, 0.17991194133137117, 0.18532102429435154, 0.19631478880472633, 0.17222825183703086, 0.1862808043428349, 0.21034831310918847, 0.17460669497701276, 0.19474325807984322, 0.19195387693531588, 0.18038103806303565, 0.15848614738757535, 0.18724584122965302, 0.19525024613704312, 0.17501635851146663, 0.20016941720496453, 0.1893220552936931, 0.18802894872724843, 0.19642071213335785, 0.20646056519016348, 0.19245028727678343, 0.19492447487764872, 0.1918535933094106, 0.1934058889259341, 0.19522593470762506, 0.1832182761929404, 0.17536500806911443, 0.15409951042290984, 0.1988205839765015, 0.1805098943235724, 0.19133281843372535, 0.20816553180679032, 0.1846463029287567, 0.1900658231849505, 0.1920092449808781, 0.18568745655994429, 0.1933671436972399, 0.17083259316810645, 0.19753781876009968, 0.16522953363710322, 0.1681722432140911, 0.18772817105628506, 0.19501178771733343, 0.1709287948820711, 0.20997235199390596, 0.1750358568149957, 0.18871524079341911, 0.17518408437655772, 0.17087004947398404, 0.17454945333758376, 0.18463683812617535, 0.17658321310597896, 0.1939992594559862, 0.20577534878747933, 0.17228471409486235, 0.20883231264241497, 0.17973266915346314, 0.18508803311654165, 0.20291955705590076, 0.19146916445061368, 0.18744163524792853, 0.18516504564496858, 0.19727761433035623, 0.17538382133980865, 0.1904901892641513, 0.18320595609858142, 0.1833066582375575, 0.17847029061327363, 0.1955858123281591, 0.18808389808943252, 0.1902750257728056, 0.18053991436709568, 0.20428133029031764, 0.18331998422074497, 0.1869798771643678]",0.18710604782496726,0.012054570833141908,85
3,SSp-n,3.7632855697691117,0.2906645755401465,3,"[0.18978497924380353, 0.20618613436857355, 0.21849208591787067, 0.20826320657442138, 0.2504075776477696, 0.2075490887551394, 0.20631436316813018, 0.23210923430534994, 0.23603447876234573, 0.21321713222535216, 0.21186619502371487, 0.22756358442871918, 0.19796636301745113, 0.20245456995005157, 0.2106466378756048, 0.1760548742651485, 0.20436371914205356, 0.25917814243509335, 0.19870354860070735, 0.21532715945275807, 0.2463369144352262, 0.24413323676124843, 0.2442125468814595, 0.2076770204805837, 0.2286418542544805, 0.23039073713353436, 0.18482107604940273, 0.23702344517571178, 0.2018692529028368, 0.2153103092856573, 0.23690048539783798, 0.22686507919213061, 0.23159493875232817, 0.20002644361459074, 0.23757039474858466, 0.2283258400599067, 0.216454319388948, 0.2867825354972407, 0.232509185066372, 0.1953235052573808, 0.21850127373613024, 0.19720760542695526, 0.25880493573413177, 0.22625821963637485, 0.20278027060786818, 0.22910074696360416, 0.227665642897621, 0.20446339562146407, 0.19267207496839978, 0.22938041814009247, 0.21520796246041463, 0.2087204420492275, 0.21251456381971304, 0.2054969946949091, 0.1922582183535128, 0.2158594682212939, 0.22961163270946455, 0.23659625758455857, 0.19252803725664278, 0.24614889272378987, 0.19742228646574767, 0.20369123393899793, 0.21094586163756013, 0.21542225546299423, 0.23329220399149878, 0.21291864061838747, 0.21067231057059702, 0.23897216855710135, 0.2402331242036862, 0.23938428826461342, 0.24268603039938644, 0.19728607676762322, 0.2117737075283379, 0.2604141772632126, 0.2472483879034427, 0.22298497473393472, 0.21092381270152932, 0.1856792794624078, 0.19416337650163348, 0.20420341989655985, 0.20546141064657214, 0.1924684635281295, 0.1978112699533838, 0.19356323836570413, 0.2295274121956153, 0.1849943493283206, 0.20053474384759437, 0.21504803639572637, 0.20465351725508338, 0.21659240468217938, 0.21547118084513725, 0.22030294791362873, 0.19931221498431673, 0.20455597198621475, 0.24244299079862763, 0.21549077063127503, 0.21031191552078238, 0.21255030315296325, 0.2067555298027205, 0.20313661670837724]",0.21698332154513292,0.01957896966068779,57
4,SSp-ul,7.530037552400971,0.24179427628509123,5,"[0.15036686338299637, 0.168109699833511, 0.17447042234177007, 0.17109438561019788, 0.17088677640084224, 0.15907355473802684, 0.15448908906188227, 0.15419730782964436, 0.15366219615156035, 0.16693809260613, 0.16018399076022555, 0.1557713156432731, 0.17982686565143333, 0.1593201393991897, 0.163731954202497, 0.171937328610335, 0.17545452570448597, 0.16270171619024407, 0.1678029734540279, 0.18244027029396387, 0.15522287441970226, 0.15939513073507233, 0.17448615245168497, 0.16617292908064135, 0.16265309044026405, 0.15043815466804106, 0.18039077892199498, 0.1629821037002054, 0.15559868902220553, 0.1740964947954473, 0.1601487583163356, 0.1623794080916711, 0.17611239119083877, 0.18701754010518334, 0.19231621892870066, 0.18676878050372886, 0.18246793803608535, 0.1621842809121933, 0.17110742582876723, 0.1597117819347409, 0.14956879152128427, 0.16152147338451012, 0.177462375925994, 0.1604980665399047, 0.17236294496043755, 0.1755495661618864, 0.1627155981551153, 0.16007188124167138, 0.17141965988965405, 0.1555133536583096, 0.13735182298595427, 0.16338968177858934, 0.16781890818125172, 0.16043679793053967, 0.17054464731742752, 0.16725743466300086, 0.15258131861296406, 0.15274722088076603, 0.15027449338199028, 0.16858988979479644, 0.1583641755689907, 0.1609985668731194, 0.16782421678764145, 0.14369879865348292, 0.17144503906209196, 0.1698569595191326, 0.16862871110903974, 0.16619586815481427, 0.1471893558281456, 0.1657509834781642, 0.16704050867900402, 0.17669862635302525, 0.1731240029258878, 0.16637123984857324, 0.15593798091335087, 0.16406530678560233, 0.15577789829953917, 0.17078342045074554, 0.15251279079973895, 0.173201368609477, 0.15740510911284186, 0.17012710562106878, 0.1742520208536339, 0.16875572271756475, 0.16094320831903317, 0.16526987032391535, 0.1748198277654893, 0.16618762910814167, 0.1534607128010362, 0.16604836047015437, 0.16466210041888274, 0.19453667775000855, 0.17417872051114186, 0.15933345870535626, 0.16309721941479347, 0.15717104196503548, 0.16067675059689024, 0.18313004288650644, 0.1558639111939601, 0.16998623329544757]",0.1653715785944626,0.010149046025177,110
5,SSp-m,2.8476255811822946,0.18530209264831185,3,"[0.1583579873759082, 0.15195999813806726, 0.16751775577933165, 0.16387561340848789, 0.16444297457807275, 0.15654916428002744, 0.15868262478014933, 0.17125890229041502, 0.1607976350910983, 0.15825264371658526, 0.1534549901969012, 0.1601491851104856, 0.15725318603963306, 0.15618951671621042, 0.1584848193303598, 0.16320653014723382, 0.16552852855543568, 0.1662627784671033, 0.17088636537491855, 0.14441881460002, 0.1530151607463953, 0.15344485339258027, 0.15341629297427023, 0.15915886958571152, 0.1523090747075319, 0.15888410942258063, 0.16119695612643906, 0.16220514933902258, 0.15374227944599364, 0.15689756116922077, 0.16081338492377453, 0.1545983237611941, 0.17471462996660894, 0.150454733871349, 0.16504195273521524, 0.1613625596634207, 0.1697843204806738, 0.16454576531591986, 0.16134168367480106, 0.17101437480712758, 0.17922349700261084, 0.1682036371997305, 0.1559995522343836, 0.15822408292444612, 0.16920696265999766, 0.1759848068027436, 0.1479433434737456, 0.15629882746140797, 0.17727995794171778, 0.15798276069787767, 0.1688045364233475, 0.15972753980933627, 0.15893156117256377, 0.17610703499919425, 0.1516237234899108, 0.16534928282355107, 0.14679408021975782, 0.14422191207696233, 0.1450464658130911, 0.17060702683541148, 0.16166871035994598, 0.1796262180141183, 0.1785966474594367, 0.16170663336504454, 0.153727866080786, 0.15637962508056183, 0.16144832962816802, 0.15809186225738842, 0.16802096238612096, 0.18137058191574862, 0.16581550526988084, 0.1559624808995195, 0.1599618657275959, 0.1566368893166609, 0.1641386950858523, 0.16490758080913212, 0.16619085596556082, 0.17217220286443485, 0.17045296144091632, 0.1598601423193116, 0.16838681562286903, 0.1598504274149074, 0.16007441377354922, 0.1675300162490766, 0.17516571062253197, 0.16150880827583353, 0.1641445891624852, 0.1642080705665066, 0.16097689979124877, 0.15820474991674935, 0.1694974712257795, 0.16517149561162947, 0.15641439864397105, 0.17602328605389772, 0.16660958616079974, 0.176796534273434, 0.1654603083416964, 0.1620678865519408, 0.16787116007731148, 0.15886827118988542]",0.1624060015792035,0.008040414870694552,591
6,SSp-bfd,2.125959467883529,0.18160421504758292,3,"[0.15340742074483293, 0.17557252185622224, 0.16045688062325034, 0.15402347640258846, 0.17094053654064634, 0.16163149643686353, 0.16048631874038455, 0.17952791537375756, 0.1629467918309639, 0.17044292558581914, 0.16620735189310365, 0.16230917287193805, 0.1761056531381291, 0.1692613723267846, 0.16915595450193915, 0.1666262439612522, 0.1639288226558693, 0.17389621413985135, 0.160236870224415, 0.14977290552919728, 0.1521461195493952, 0.1704576135919043, 0.1575528891829837, 0.15342568917228488, 0.14874499076170059, 0.16346809190119788, 0.15989893914699588, 0.14949057077492106, 0.16606544592848815, 0.16897945952301388, 0.16755257843940807, 0.17059635219893177, 0.1656989239138749, 0.16666040238512506, 0.168402898400103, 0.16182983707355642, 0.16493547744936451, 0.1657230505850826, 0.1518621329477362, 0.16633137322135066, 0.1738797739087346, 0.17196953214672972, 0.1592665864379353, 0.15988455215361602, 0.1633282663935693, 0.15753146353697248, 0.15757142734165036, 0.1721714421556386, 0.1635823662980513, 0.16442403722805798, 0.14785152777415708, 0.1624066130750483, 0.15195455590588902, 0.16088149278269515, 0.15322841211007257, 0.1637190358622097, 0.1393043067774169, 0.16775497332442368, 0.149729267130677, 0.16040845727204142, 0.16067112006952217, 0.15660156429541505, 0.1566771299718036, 0.16492021619210914, 0.15981129202919833, 0.1669404525567545, 0.1652318609093616, 0.16204360363194795, 0.15405837519778037, 0.17089089721975514, 0.15523113133920766, 0.1580942909424687, 0.13757071858329167, 0.15548014401103613, 0.1474024832237826, 0.1599635110212199, 0.1646371786817983, 0.17119395434929113, 0.17252405216109332, 0.16566663728093428, 0.16282668221991692, 0.17637469891916535, 0.18251953641976884, 0.16927163245529006, 0.1610942761443424, 0.14408501521214298, 0.1699724286765232, 0.15482645092180622, 0.16990592715908448, 0.15555668550539672, 0.15876978117703772, 0.16960544342493336, 0.16123780441760008, 0.15456751005853228, 0.1685059601048606, 0.15189646396745204, 0.18244369841906735, 0.15447169484687778, 0.18574894309898785, 0.1757636594646525]",0.16262662677422024,0.008926599288487644,233
7,SSs,2.310829808923233,0.18798794961099263,3,"[0.1629723507489889, 0.16457472209438545, 0.15973409592137086, 0.17037651365864528, 0.18015322912469084, 0.16688661562927823, 0.1681129074071794, 0.17216619809855316, 0.158804768828833, 0.16603596793491163, 0.15949498275299584, 0.16520510953046036, 0.17016376204520395, 0.16386207726822014, 0.15873515405149755, 0.17076565700916002, 0.16720154412677174, 0.15365658728210468, 0.16148387249734922, 0.16064150424654025, 0.15857222397196682, 0.17688337574548377, 0.18230526757015558, 0.16711105732238163, 0.1789015059558313, 0.1637562425339894, 0.16659024250094712, 0.17040417682854456, 0.176754174125875, 0.17565677692954804, 0.1686863361181227, 0.16460944306003775, 0.1612023877803728, 0.16283349002177708, 0.17488355169323436, 0.16084029417294488, 0.16301305197243252, 0.15104928067362058, 0.181402386192998, 0.16769587416939233, 0.16501141014214799, 0.17297187180064763, 0.159948987460435, 0.17117768755606533, 0.16382821676219514, 0.15711652612650723, 0.1674222696896303, 0.16320604518177098, 0.17239862072604778, 0.1741785136243703, 0.16312008121435345, 0.16270446556585327, 0.15292263063446906, 0.1743434775048625, 0.16982095901551894, 0.17011333244622287, 0.19582404174224113, 0.14878544777461095, 0.1578044286079742, 0.16908923411191515, 0.17206943526710802, 0.1599325834977334, 0.18080560236825496, 0.1671946399737687, 0.15262494933124252, 0.16433717599109163, 0.17326211217716245, 0.17194422612423, 0.17305717019313435, 0.16305231067184014, 0.15198190612499557, 0.17611117679778046, 0.16463262605668766, 0.17483497537037476, 0.1791813392605761, 0.153522619328068, 0.15422044432558263, 0.16294487797409873, 0.17676296211094752, 0.16838679068179435, 0.16749502455385257, 0.19702314923635775, 0.1725812582183423, 0.17471941189850201, 0.1703020250116755, 0.1470325580417379, 0.1692993559003083, 0.15821422656943243, 0.1561919695457764, 0.1629856572657702, 0.16020970402643794, 0.15284106775198955, 0.17992615770407194, 0.170466222043901, 0.15719742307971077, 0.17840572412651404, 0.18371504822537832, 0.16726433355593015, 0.17282789275975435, 0.16275128547914725]",0.167082764259057,0.009046614022032516,321
8,SSp-tr,1.142128214817099,0.20749441660077161,8,"[0.16643394109007822, 0.1904316324006693, 0.19381087434554342, 0.21226901053177447, 0.20462122764192453, 0.18267969658968206, 0.17052479158223013, 0.19174777329239331, 0.16728207146207763, 0.18827470690403605, 0.20406716457148041, 0.19494577004195524, 0.2032197993233587, 0.2044077720726523, 0.17579039098026492, 0.19425955947844165, 0.18720765556968394, 0.20526098420330652, 0.1833694655453213, 0.22564064114002003, 0.1954911591821203, 0.18763039087528957, 0.21004141333175746, 0.19937119194053168, 0.18915393189707663, 0.2039014388918521, 0.17975123906026932, 0.1750155121135495, 0.19569992208836712, 0.17183193222695264, 0.1978020147291851, 0.2007523166459427, 0.2209524789305193, 0.17672357602891337, 0.20045455412974122, 0.1959619464687282, 0.2230785516436119, 0.16531842510472805, 0.19894859701933745, 0.1856412876303906, 0.20537106600738786, 0.1813625031643407, 0.17419894038891884, 0.17065464582495693, 0.18251576796187147, 0.18002814642289489, 0.18111843019817464, 0.19464140331637145, 0.18783823094576432, 0.19362243228353895, 0.18160112630367875, 0.21761994373296092, 0.18009105486534993, 0.17068255264264584, 0.18314235085678698, 0.201116179331533, 0.1918840221387801, 0.19656654042767055, 0.19194650789874548, 0.18249969166824234, 0.16043184972176802, 0.17888515390196938, 0.1722784820093019, 0.2006435207255663, 0.19965379216882723, 0.21427528608474267, 0.18024428756095243, 0.19410466712724617, 0.1529147222380325, 0.19221635939505005, 0.1980350839801255, 0.19565397359795714, 0.18495869266700715, 0.18138318651849067, 0.19110435226274214, 0.19587500681176986, 0.20062135663925737, 0.17440998658454754, 0.18863674782800388, 0.184049826305456, 0.19103355630743254, 0.1749936177113021, 0.18995071209464082, 0.20134236451246898, 0.18596444567464093, 0.2075846056286807, 0.17030829232703398, 0.17258248076326335, 0.20697787467138326, 0.23328753559736112, 0.18839277902003138, 0.21115670595221112, 0.20294419356604523, 0.17802881091691572, 0.20329486395841465, 0.1913926960127926, 0.20085377339053684, 0.19396719661307943, 0.20053316476852456, 0.17719803323649577]",0.19090432381938446,0.01452559578352059,104
9,MOp,-1.0510339371471344,0.12548311427825173,5,"[0.12565923043397922, 0.13317985911012095, 0.13175758852671246, 0.12477628688499949, 0.1355489622724084, 0.12750892645359965, 0.1263991310008883, 0.1290006259965135, 0.13009832682875555, 0.1261186646944971, 0.1331262577524674, 0.12636318418995757, 0.12996010689502682, 0.12567357019250233, 0.12715886350363065, 0.13046695759951368, 0.12643957967424926, 0.12602985281049103, 0.12338291986626466, 0.13174451974152307, 0.12212781803236392, 0.12937726697222462, 0.1312439004978052, 0.12848641289840157, 0.12901574726492362, 0.13366424401497476, 0.1300231504670729, 0.13096023789776406, 0.13499114590800573, 0.13586554700484646, 0.12313102683426472, 0.1313131669547303, 0.130976774750201, 0.13139462069004315, 0.1319835155898755, 0.12420568889106728, 0.12473022060991092, 0.12135859138884575, 0.1281554034726282, 0.13488987587804166, 0.1330313306205816, 0.1322670196192412, 0.12225307030097796, 0.1265036363322435, 0.13164226338546814, 0.13988085022428182, 0.12510486319502026, 0.1262415568626561, 0.12423018439510021, 0.13034893669971362, 0.1288351695090125, 0.1285870542422166, 0.1319636101855714, 0.12850914059005467, 0.13336372100414334, 0.12854776568158413, 0.12899672100861115, 0.1252225762416464, 0.13438374841072528, 0.13162149968670697, 0.13686817887105115, 0.13300253362993258, 0.13244026219498195, 0.1284225926493263, 0.12727505597160305, 0.13203733672307505, 0.13060442854686258, 0.1284597117619836, 0.12802945799506843, 0.131868249766609, 0.1301934195018398, 0.1252213396602444, 0.1274610950240598, 0.12621443741698612, 0.12988381127809775, 0.12348131966459018, 0.13295640156595934, 0.12756864756885877, 0.13520975273345276, 0.1271187057179123, 0.12956709021780083, 0.12804489743385794, 0.12558530459589864, 0.12774413304448304, 0.12981240279259262, 0.12714665374405995, 0.12953825719516826, 0.12659337374702492, 0.13079572412894633, 0.12900012850239323, 0.12365224029748316, 0.1269458546638921, 0.13508417254635172, 0.13192270022222477, 0.13157686691261886, 0.1283427998545057, 0.13294465159272134, 0.12831146958980164, 0.1263787976808379, 0.12832466401534634]",0.12921451409662155,0.003550218205606289,910
